trial_within_subject,block,alien_id,eye_stalks,colour_green,slim_legs,arms_up,spots,category_feedback,agent_id,w1_true,w2_true,w3_true,w4_true,w5_true,c_true,log_c_true,bias_true,prob_cat1,sim_response,correct,feature_focus,performance
1,1,30,0,1,1,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,colour_green,0
2,1,4,0,0,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,1,colour_green,0.5
3,1,13,1,0,1,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,colour_green,0.3333333333333333
4,1,31,1,0,1,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,1,colour_green,0.5
5,1,16,0,1,1,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,1,colour_green,0.6
6,1,21,1,1,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,spots,0.5
7,1,24,0,1,1,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,1,spots,0.5714285714285714
8,1,17,0,0,1,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,spots,0.5
9,1,25,0,1,1,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,spots,0.4444444444444444
10,1,7,1,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,spots,0.4
11,1,12,1,0,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,1,slim_legs,0.45454545454545453
12,1,8,0,0,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,1,slim_legs,0.5
13,1,10,0,1,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,slim_legs,0.46153846153846156
14,1,6,0,1,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,slim_legs,0.42857142857142855
15,1,29,1,1,1,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,slim_legs,0.4
16,1,5,0,0,1,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,1,eye_stalks,0.4375
17,1,27,1,1,0,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,0,eye_stalks,0.4117647058823529
18,1,3,0,0,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4922788657617093,1,0,eye_stalks,0.3888888888888889
19,1,1,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5442468652574524,1,1,eye_stalks,0.42105263157894735
20,1,32,1,0,1,0,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5074778418945713,1,1,eye_stalks,0.45
21,1,22,1,1,0,0,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5308640217311472,0,0,eye_stalks,0.42857142857142855
22,1,14,1,1,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5066592660833326,0,1,eye_stalks,0.45454545454545453
23,1,11,1,0,0,0,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5264859000432033,1,1,eye_stalks,0.4782608695652174
24,1,28,1,1,1,0,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5349408801732567,1,1,eye_stalks,0.5
25,1,19,0,1,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5023953192483434,1,0,eye_stalks,0.48
26,1,15,0,1,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4654329087236953,1,0,slim_legs,0.46153846153846156
27,1,18,0,0,1,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49334766363223803,0,1,slim_legs,0.48148148148148145
28,1,23,1,1,1,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5091158540288512,0,1,slim_legs,0.5
29,1,2,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46946325741429124,1,0,slim_legs,0.4827586206896552
30,1,26,1,0,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5252428456141263,1,1,slim_legs,0.5
31,1,20,1,0,0,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5271120747698028,1,1,eye_stalks,0.5161290322580645
32,1,9,0,0,1,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5021741372394589,1,0,eye_stalks,0.5
1,1,30,0,1,1,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,colour_green,0
2,1,4,0,0,0,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,1,colour_green,0.5
3,1,13,1,0,1,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,colour_green,0.3333333333333333
4,1,31,1,0,1,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,1,colour_green,0.5
